instance,shape_0,shape_1,shape_2,volume,class_idx,class_label,class_volume,class_volume_ratio,compactness,std,mean_intensity,std_intensity,min_intensity,max_intensity,modality,n_training_samples,n_test_samples,n_channels,n_classes,source
spleen_19,512,512,51,13369344,0,background,13272492,0.9927556654986214,0.06623278480600872,0.08480480009416416,-395.01707561775135,464.7194926885895,-1024.0,1372.0,3,41,20,1,2,CT
spleen_19,512,512,51,13369344,1,spleen,96852,0.007244334501378676,0.025792071156937445,0.08480480009416416,107.68228844009417,31.17851783139375,-114.0,224.0,3,41,20,1,2,CT
spleen_31,512,512,56,14680064,0,background,14549643,0.9911157744271415,0.07240171738581218,0.09383653930548137,-475.52853338050977,495.03178940859107,-1024.0,1336.0,3,41,20,1,2,CT
spleen_31,512,512,56,14680064,1,spleen,130421,0.008884225572858537,0.04030592205379379,0.09383653930548137,79.29909293748706,20.752974245032593,-169.0,148.0,3,41,20,1,2,CT
spleen_52,512,512,112,29360128,0,background,29289126,0.9975816862923759,0.1427551644689321,0.04911685521728535,-459.31742626939433,489.1611408214145,-1024.0,2002.0,3,41,20,1,2,CT
spleen_52,512,512,112,29360128,1,spleen,71002,0.002418313707624163,0.09182549066344657,0.04911685521728535,48.61460240556604,20.445447148967784,-83.0,134.0,3,41,20,1,2,CT
spleen_40,512,512,93,24379392,0,background,24319248,0.9975329983618951,0.11973483532079862,0.049607615756276716,-505.39011420089963,478.40711577308394,-1024.0,1650.0,3,41,20,1,2,CT
spleen_40,512,512,93,24379392,1,spleen,60144,0.002467001638104839,0.04162240039600101,0.049607615756276716,103.81083732375632,25.76329277982297,-177.0,258.0,3,41,20,1,2,CT
spleen_3,512,512,40,10485760,0,background,10427734,0.9944662094116211,0.052261048750688426,0.07418333876351753,-604.146797760664,480.4424326890281,-1024.0,1346.0,3,41,20,1,2,CT
spleen_3,512,512,40,10485760,1,spleen,58026,0.005533790588378907,0.030476121506768553,0.07418333876351753,138.6703202012891,39.369450879966024,-388.0,250.0,3,41,20,1,2,CT
spleen_17,512,512,95,24903680,0,background,24807266,0.9961285239771793,0.12186293192856877,0.06210062557032371,-564.5466517350199,513.0353062258088,-1024.0,1964.0,3,41,20,1,2,CT
spleen_17,512,512,95,24903680,1,spleen,96414,0.0038714760228207236,0.07924227464927294,0.06210062557032371,144.5870205571805,52.55066981591348,-511.0,802.0,3,41,20,1,2,CT
spleen_21,512,512,89,23330816,0,background,23229818,0.9956710472535552,0.11443463397721873,0.0656522118025295,-591.1144285762376,493.6152339379696,-1024.0,1483.0,3,41,20,1,2,CT
