instance,shape_0,shape_1,shape_2,volume,class_idx,class_label,class_volume,class_volume_ratio,compactness,std,mean_intensity,std_intensity,min_intensity,max_intensity,modality,n_training_samples,n_test_samples,n_channels,n_classes,source
colon_219,512,512,137,35913728,0,background,35831241,0.9977031902675211,0.17170806371833416,0.0478699738618262,-533.2163112352151,511.9468860477642,-1024.0,3071.0,3,126,64,1,2,CT
colon_219,512,512,137,35913728,1,colon cancer primaries,82487,0.0022968097324789004,0.06639730304181761,0.0478699738618262,55.804575266405614,18.36097851264839,-59.0,141.0,3,126,64,1,2,CT
colon_207,512,512,84,22020096,0,background,21994851,0.9988535472324916,0.10906616167924882,0.033839893817214646,-598.415389038098,489.6243509144658,-1024.0,2954.0,3,126,64,1,2,CT
colon_207,512,512,84,22020096,1,colon cancer primaries,25245,0.0011464527675083705,0.08767818336845028,0.033839893817214646,63.22741136858784,28.421997115560956,-87.0,287.0,3,126,64,1,2,CT
colon_215,512,512,92,24117248,0,background,24115535,0.9999289719954781,0.11918630680607922,0.008427512061367076,-545.6231151413394,482.4718248809523,-1024.0,1369.0,3,126,64,1,2,CT
colon_215,512,512,92,24117248,1,colon cancer primaries,1713,7.102800452190897e-05,0.03444877228431492,0.008427512061367076,47.225919439579684,20.496572822701086,-65.0,102.0,3,126,64,1,2,CT
colon_194,512,512,103,27000832,0,background,26980235,0.9992371716545624,0.13246342965392538,0.027608810882634807,-479.24985705276475,502.52692252953165,-1024.0,3071.0,3,126,64,1,2,CT
colon_194,512,512,103,27000832,1,colon cancer primaries,20597,0.0007628283454376517,0.03184933166780555,0.027608810882634807,32.66912657183085,20.98005593140397,-385.0,102.0,3,126,64,1,2,CT
colon_098,512,512,110,28835840,0,background,28824616,0.999610762162642,0.14099821343573316,0.019725271386320214,-517.3208358786115,514.2371865400839,-1024.0,1518.0,3,126,64,1,2,CT
colon_098,512,512,110,28835840,1,colon cancer primaries,11224,0.00038923783735795453,0.01699005245182377,0.019725271386320214,55.59461867426942,35.48068943004366,-628.0,149.0,3,126,64,1,2,CT
colon_086,512,512,101,26476544,0,background,26465623,0.9995875216946744,0.13011235279293437,0.020305372859744927,-436.5929097531541,478.4632496371193,-1024.0,3071.0,3,126,64,1,2,CT
colon_086,512,512,101,26476544,1,colon cancer primaries,10921,0.0004124783053256498,0.029492967393145657,0.020305372859744927,44.44950096145042,26.161550746431875,-232.0,110.0,3,126,64,1,2,CT
colon_051,512,512,51,13369344,0,background,13359884,0.9992924110562194,0.06707933225035892,0.026591131259637343,-598.9676244943444,497.903108258807,-1024.0,1281.0,3,126,64,1,2,CT
colon_051,512,512,51,13369344,1,colon cancer primaries,9460,0.0007075889437806373,0.11584973473274078,0.026591131259637343,92.04281183932346,22.607174068562546,-52.0,159.0,3,126,64,1,2,CT
colon_032,512,512,102,26738688,0,background,26735781,0.9998912811279297,0.13142053832507875,0.01042626741826471,-617.4439017509906,477.033054531282,-1024.0,1446.0,3,126,64,1,2,CT
colon_032,512,512,102,26738688,1,colon cancer primaries,2907,0.0001087188720703125,0.04057550310676966,0.01042626741826471,18.005847953216374,35.692003676568206,-248.0,88.0,3,126,64,1,2,CT
colon_143,512,512,102,26738688,0,background,26714471,0.9990943085913565,0.13123381473157347,0.030081075973373356,-552.3583242580397,494.5709870548443,-1024.0,3071.0,3,126,64,1,2,CT
colon_143,512,512,102,26738688,1,colon cancer primaries,24217,0.0009056914086435355,0.03840266721385983,0.030081075973373363,52.916133294792914,25.328741391319415,-751.0,123.0,3,126,64,1,2,CT
colon_120,512,512,93,24379392,0,background,24376258,0.9998714488039735,0.12040484618671206,0.011337313200954657,-520.3873871042881,518.1415779444685,-1024.0,1902.0,3,126,64,1,2,CT
colon_120,512,512,93,24379392,1,colon cancer primaries,3134,0.00012855119602654569,0.02500116576972845,0.011337313200954657,56.804084237396296,23.846093062521703,-40.0,137.0,3,126,64,1,2,CT
colon_075,512,512,86,22544384,0,background,22542205,0.9999033462169559,0.11173942952421971,0.009830790461115735,-564.8686801490803,498.5095522818286,-1024.0,1595.0,3,126,64,1,2,CT
colon_075,512,512,86,22544384,1,colon cancer primaries,2179,9.665378304414971e-05,0.009195506896112673,0.009830790461115735,77.3079394217531,32.71269493116515,-272.0,175.0,3,126,64,1,2,CT
colon_175,512,512,90,23592960,0,background,23587636,0.9997743394639756,0.11667892771290204,0.015020306699491425,-602.470068810626,476.784353995174,-1024.0,1745.0,3,126,64,1,2,CT
colon_175,512,512,90,23592960,1,colon cancer primaries,5324,0.00022566053602430557,0.04484307597773892,0.015020306699491425,62.001126972201355,33.72708892945778,-86.0,258.0,3,126,64,1,2,CT
