instance,shape_0,shape_1,shape_2,volume,class_idx,class_label,class_volume,class_volume_ratio,compactness,std,mean_intensity,std_intensity,min_intensity,max_intensity,modality,n_training_samples,n_test_samples,n_channels,n_classes,source
pancreas_290,512,512,97,25427968,0,background,25395285,0.99871468298214,0.12514065466281382,0.03582827065354493,-683.2304121020891,457.69016494121706,-1024.0,1393.0,3,281,139,1,3,CT
pancreas_290,512,512,97,25427968,1,pancreas,29162,0.0011468474397954252,0.011048195887144688,0.03384571140846694,118.37360263356423,61.55883287268131,-131.0,310.0,3,281,139,1,3,CT
pancreas_290,512,512,97,25427968,2,cancer,3521,0.00013846957806459408,0.07098374206557463,0.011766494985361314,102.27492189718829,29.877131117597244,-31.0,204.0,3,281,139,1,3,CT
pancreas_127,512,512,126,33030144,0,background,32927086,0.99687988039047,0.15933224573580843,0.055770820893656634,-520.0581295289842,492.5227566462902,-1024.0,1364.0,3,281,139,1,3,CT
pancreas_127,512,512,126,33030144,1,pancreas,97983,0.0029664720807756695,0.017532256372730554,0.05438448422270089,43.87265137830032,64.10670786432466,-214.0,251.0,3,281,139,1,3,CT
pancreas_127,512,512,126,33030144,2,cancer,5075,0.00015364752875434028,0.202507560440312,0.012394511736702927,24.239408866995074,43.49426805160817,-130.0,187.0,3,281,139,1,3,CT
pancreas_056,512,512,84,22020096,0,background,21982455,0.9982906069074359,0.10903277222030468,0.04130945494459143,-533.3974705282008,496.55373685369034,-1024.0,1730.0,3,281,139,1,3,CT
pancreas_056,512,512,84,22020096,1,pancreas,35272,0.001601809547061012,0.009437328066444125,0.039990545798176846,26.058233159446587,51.30871755666099,-161.0,163.0,3,281,139,1,3,CT
pancreas_056,512,512,84,22020096,2,cancer,2369,0.0001075835455031622,0.215191766752858,0.010371690859444898,6.350358801181933,25.35653076144752,-119.0,90.0,3,281,139,1,3,CT
pancreas_148,512,512,42,11010048,0,background,10984370,0.9976677667526972,0.05526527663825034,0.04823685246140206,-535.3034708408402,496.46581131676965,-1024.0,1596.0,3,281,139,1,3,CT
pancreas_148,512,512,42,11010048,1,pancreas,24240,0.002201625279017857,0.004133638496753004,0.046869799713127845,68.02112211221122,51.42196785692685,-122.0,221.0,3,281,139,1,3,CT
pancreas_148,512,512,42,11010048,2,cancer,1438,0.00013060796828497025,0.0876418212492188,0.011427637981822477,52.33310152990264,19.49393551371958,-20.0,116.0,3,281,139,1,3,CT
pancreas_048,512,512,121,31719424,0,background,31674829,0.9985940791358633,0.1538257075630253,0.037469244063106436,-529.998550205275,484.75033717242076,-1024.0,1303.0,3,281,139,1,3,CT
pancreas_048,512,512,121,31719424,1,pancreas,38600,0.0012169199541580578,0.008812998515298013,0.034863147591447326,59.3160103626943,54.728738816791456,-169.0,283.0,3,281,139,1,3,CT
pancreas_048,512,512,121,31719424,2,cancer,5995,0.0001890009099786932,0.26469672073186523,0.013746460949449197,43.04687239366138,33.65813963138439,-89.0,191.0,3,281,139,1,3,CT
pancreas_135,512,512,60,15728640,0,background,15670822,0.9963240305582682,0.07848312005572848,0.060518234362836654,-464.80745611174706,502.3049159155512,-1024.0,1271.0,3,281,139,1,3,CT
pancreas_135,512,512,60,15728640,1,pancreas,53748,0.003417205810546875,0.0064823474590177095,0.05835690631789292,75.78254074570216,37.05459967002789,-152.0,278.0,3,281,139,1,3,CT
