instance,shape_0,shape_1,shape_2,volume,class_idx,class_label,class_volume,class_volume_ratio,compactness,std,mean_intensity,std_intensity,min_intensity,max_intensity,modality,n_training_samples,n_test_samples,n_channels,n_classes,source
hippocampus_367,36,57,37,75924,0,background,71773,0.9453269058532217,0.31679614431774444,0.22734103660183277,602.8640302518936,278.0864382482582,0.0,1932.4031982421875,3,260,130,1,3,MRI
hippocampus_367,36,57,37,75924,1,Anterior,2212,0.02913439755545019,0.17297603505346199,0.1681831871339438,484.6378781834304,111.9344394959656,97.84320068359375,880.5887451171875,3,260,130,1,3,MRI
hippocampus_367,36,57,37,75924,2,Posterior,1939,0.02553869659132817,0.06613303011328767,0.1577544660786003,478.9556530937207,135.6686487539126,57.075199127197266,1076.275146484375,3,260,130,1,3,MRI
hippocampus_304,36,48,38,65664,0,background,62128,0.946150097465887,0.34783230403360804,0.2257212673435527,536.973532342877,230.96411963728067,0.0,1835.211669921875,3,260,130,1,3,MRI
hippocampus_304,36,48,38,65664,1,Anterior,2016,0.03070175438596491,0.18537657983419517,0.17250842490611523,375.43761462280673,100.17163745534017,7.311600208282471,753.0948486328125,3,260,130,1,3,MRI
hippocampus_304,36,48,38,65664,2,Posterior,1520,0.023148148148148147,0.08497500284008534,0.15037390526770106,335.39079926641364,104.00409225153726,65.80440521240234,775.0296020507812,3,260,130,1,3,MRI
hippocampus_204,36,48,39,67392,0,background,64519,0.9573688271604939,0.35601319757352695,0.2020241469276243,221313.652070166,111914.06157392373,0.0,581627.8125,3,260,130,1,3,MRI
hippocampus_204,36,48,39,67392,1,Anterior,1642,0.02436490978157645,0.2038612927817633,0.15417931428344106,167676.63632205865,42764.044015709136,15146.5576171875,305960.46875,3,260,130,1,3,MRI
hippocampus_204,36,48,39,67392,2,Posterior,1231,0.018266263057929725,0.05805841570349334,0.13391268308800416,161700.26875698112,46529.925054103485,54527.609375,372605.3125,3,260,130,1,3,MRI
hippocampus_279,34,50,32,54400,0,background,52018,0.9562132352941176,0.33144744094763023,0.20462034097927326,397.0698294828973,183.86440165727169,0.0,1374.9739990234375,3,260,130,1,3,MRI
hippocampus_279,34,50,32,54400,1,Anterior,1261,0.02318014705882353,0.25237776534375694,0.15047533964459042,323.805215331886,79.53681773571,59.78147888183594,576.0760498046875,3,260,130,1,3,MRI
