instance,shape_0,shape_1,shape_2,volume,class_idx,class_label,class_volume,class_volume_ratio,compactness,std,mean_intensity,std_intensity,min_intensity,max_intensity,modality,n_training_samples,n_test_samples,n_channels,n_classes,source
la_007,320,320,130,13312000,0,background,13256556,0.9958350360576923,0.2448078800683454,0.06440199544786612,175.62145002065392,232.99472705095835,0.0,1873.0,3,20,10,1,2,MRI
la_007,320,320,130,13312000,1,left atrium,55444,0.004164963942307693,0.12925408477642666,0.06440199544786612,1049.1612978861554,156.74104303728325,316.0,1601.0,3,20,10,1,2,MRI
la_019,320,320,100,10240000,0,background,10185721,0.99469931640625,0.1971352792770782,0.07261257705927471,155.68331029290906,236.10753897306273,0.0,1662.0,3,20,10,1,2,MRI
la_019,320,320,100,10240000,1,left atrium,54279,0.00530068359375,0.11521142594719266,0.07261257705927471,983.6255642145213,129.6406818354592,194.0,1571.0,3,20,10,1,2,MRI
la_023,320,320,110,11264000,0,background,11220796,0.9961644176136364,0.21421311636162435,0.06181319191014916,170.63973723432812,248.68396757407393,0.0,1999.0,3,20,10,1,2,MRI
la_023,320,320,110,11264000,1,left atrium,43204,0.0038355823863636365,0.22335842491513924,0.06181319191014916,1101.1894731969262,161.07004204079672,377.0,1864.0,3,20,10,1,2,MRI
la_005,320,320,120,12288000,0,background,12229789,0.9952627766927084,0.22964446695260118,0.0686642703494955,155.25731760376243,229.35921782453863,0.0,1888.0,3,20,10,1,2,MRI
la_005,320,320,120,12288000,1,left atrium,58211,0.0047372233072916665,0.14677225279816392,0.0686642703494955,972.313720774424,175.00120113514308,243.0,1666.0,3,20,10,1,2,MRI
la_009,320,320,100,10240000,0,background,10192889,0.99539931640625,0.19745670594738027,0.06767213092714217,159.0382178202863,254.88355890816237,0.0,2171.0,3,20,10,1,2,MRI
la_009,320,320,100,10240000,1,left atrium,47111,0.00460068359375,0.10177925908772029,0.06767213092714217,1089.0005731145593,158.61109622325571,316.0,1975.0,3,20,10,1,2,MRI
la_017,320,320,120,12288000,0,background,12250221,0.996925537109375,0.2301575916770489,0.05536253759139933,177.1477023965527,257.28343599289883,0.0,1937.0,3,20,10,1,2,MRI
la_017,320,320,120,12288000,1,left atrium,37779,0.003074462890625,0.1643517385370576,0.05536253759139933,1116.9395166626962,176.1378662994081,304.0,1647.0,3,20,10,1,2,MRI
la_021,320,320,100,10240000,0,background,10200836,0.996175390625,0.19760136154197755,0.06172504951904674,194.7151962839124,268.7751141462496,0.0,1852.0,3,20,10,1,2,MRI
la_021,320,320,100,10240000,1,left atrium,39164,0.003824609375,0.08984805048366566,0.06172504951904674,1148.1319068532325,123.01286170501614,335.0,1680.0,3,20,10,1,2,MRI
la_029,320,320,109,11161600,0,background,11128993,0.9970786446387615,0.21282032911195925,0.05397055719641906,203.31527722229674,297.1532278057036,0.0,2196.0,3,20,10,1,2,MRI
la_029,320,320,109,11161600,1,left atrium,32607,0.002921355361238532,0.12970434259549496,0.05397055719641906,1271.7180666728004,147.5478190838345,496.0,1893.0,3,20,10,1,2,MRI
la_003,320,320,130,13312000,0,background,13266997,0.9966193659855769,0.24499352447034597,0.05804485617247774,169.49701503663564,257.658033508667,0.0,1999.0,3,20,10,1,2,MRI
la_003,320,320,130,13312000,1,left atrium,45003,0.003380634014423077,0.15714195822848556,0.05804485617247774,1128.9574695020333,154.35488174319974,436.0,1910.0,3,20,10,1,2,MRI
la_011,320,320,120,12288000,0,background,12229545,0.995242919921875,0.22972566896778912,0.06880734166682567,189.73462307878177,272.62576114426395,0.0,1979.0,3,20,10,1,2,MRI
la_011,320,320,120,12288000,1,left atrium,58455,0.004757080078125,0.15795273358583456,0.06880734166682566,1102.6630570524335,124.81358537242603,452.0,1905.0,3,20,10,1,2,MRI
la_030,320,320,110,11264000,0,background,11219018,0.9960065696022727,0.21416000717936876,0.06306728875879901,154.9901385308411,260.2303681527929,0.0,2045.0,3,20,10,1,2,MRI
la_030,320,320,110,11264000,1,left atrium,44982,0.003993430397727273,0.1535148446378846,0.06306728875879901,1241.525788093015,133.23441922451335,400.0,1694.0,3,20,10,1,2,MRI
la_022,320,320,110,11264000,0,background,11230449,0.9970213955965909,0.21440085054790606,0.054495250428061054,149.0054149215227,233.65525265239955,0.0,1901.0,3,20,10,1,2,MRI
la_022,320,320,110,11264000,1,left atrium,33551,0.002978604403409091,0.14707845675663636,0.054495250428061054,1068.1778784536973,148.84087391275625,412.0,1621.0,3,20,10,1,2,MRI
la_014,320,320,120,12288000,0,background,12219852,0.9944541015625,0.22953631351756715,0.07426399833042285,204.6805342650631,266.14146359677994,0.0,2058.0,3,20,10,1,2,MRI
la_014,320,320,120,12288000,1,left atrium,68148,0.0055458984375,0.22210961701967347,0.07426399833042285,1121.5817045254446,137.04610945418614,364.0,1576.0,3,20,10,1,2,MRI
la_018,320,320,122,12492800,0,background,12452467,0.9967715003842214,0.23329517034665856,0.05672809185940948,145.47791919464632,228.53658377428815,0.0,2095.0,3,20,10,1,2,MRI
la_018,320,320,122,12492800,1,left atrium,40333,0.0032284996157786886,0.12029937797788187,0.05672809185940948,1050.6831378771726,133.55996114567785,436.0,1690.0,3,20,10,1,2,MRI
la_020,320,320,110,11264000,0,background,11231960,0.9971555397727273,0.21433457614041057,0.05325757479728315,145.38773660162607,239.9042722447353,0.0,2005.0,3,20,10,1,2,MRI
la_020,320,320,110,11264000,1,left atrium,32040,0.002844460227272727,0.1147055003055637,0.05325757479728315,1032.7413857677902,168.9656532630197,165.0,1556.0,3,20,10,1,2,MRI
la_004,320,320,110,11264000,0,background,11205525,0.994808682528409,0.21389663286971847,0.07186353522127935,135.30277608590404,223.27147632149226,0.0,1811.0,3,20,10,1,2,MRI
la_004,320,320,110,11264000,1,left atrium,58475,0.005191317471590909,0.08417525395095667,0.07186353522127935,1053.6985891406584,107.89336925927012,419.0,1630.0,3,20,10,1,2,MRI
la_016,320,320,90,9216000,0,background,9167744,0.9947638888888889,0.17985977508721673,0.07217128412009187,162.5113132522025,262.6289896980764,0.0,2017.0,3,20,10,1,2,MRI
la_016,320,320,90,9216000,1,left atrium,48256,0.0052361111111111115,0.20224537753982344,0.07217128412009187,1048.625828912467,108.80134652938507,405.0,1399.0,3,20,10,1,2,MRI
la_024,320,320,120,12288000,0,background,12241510,0.9962166341145834,0.23004537533973285,0.061392605645905894,160.3387143416131,259.0046851368675,0.0,2060.0,3,20,10,1,2,MRI
la_024,320,320,120,12288000,1,left atrium,46490,0.0037833658854166665,0.11830614792712715,0.0613926056459059,1175.4198537319853,155.5525736874568,211.0,1996.0,3,20,10,1,2,MRI
la_010,320,320,120,12288000,0,background,12250382,0.9969386393229167,0.23018602408320404,0.05524480742918937,164.37901838489609,251.16735754964978,0.0,1907.0,3,20,10,1,2,MRI
la_010,320,320,120,12288000,1,left atrium,37618,0.0030613606770833334,0.1439053806154602,0.05524480742918937,1069.347998298687,120.2281093209412,465.0,1638.0,3,20,10,1,2,MRI
la_026,320,320,120,12288000,0,background,12234135,0.995616455078125,0.22975399773886537,0.06606307180106741,155.51877349726809,229.7620092690269,0.0,1888.0,3,20,10,1,2,MRI
la_026,320,320,120,12288000,1,left atrium,53865,0.004383544921875,0.1377151312234228,0.06606307180106741,978.853040007426,173.1123289923999,356.0,1742.0,3,20,10,1,2,MRI
